No.,link
1,https://www.dawn.com/news/1779291/the-cases-welcoming-pml-n-chief-nawaz-sharif-on-his-return-after-4-year-self-exile
2,https://www.dawn.com/news/print/1779291
3,https://www.dawn.com/news/1775482
4,https://www.dawn.com/news/1348191
5,https://www.dawn.com/news/1364817/nawaz-maryam-and-capt-safdar-indicted-in-nab-references-plead-not-guilty
6,https://www.dawn.com/news/1418326
7,https://www.dawn.com/news/1579928
8,https://www.dawn.com/news/1593682
9,https://www.dawn.com/news/1631238
10,https://www.dawn.com/news/1452815
11,https://www.dawn.com/news/1513587
12,https://www.dawn.com/news/1517603
13,https://www.dawn.com/news/1580075
14,https://www.dawn.com/news/1593682
15,https://www.dawn.com/news/1631238
16,https://www.dawn.com/news/1578894
17,https://www.dawn.com/news/1582659
18,https://www.dawn.com/news/1727654
19,https://www.dawn.com/news/1778483
20,https://www.dawn.com/news/1497382
21,https://www.dawn.com/news/1498706
22,https://www.dawn.com/news/1512842
23,https://www.dawn.com/news/1778274
24,https://www.dawn.com/news/1778274
25,https://www.dawn.com/news/1401551
26,https://www.dawn.com/news/print/1779291
27,https://www.dawn.com/news/1779818/nawaz-to-head-home-after-minar-i-pakistan-rally-in-lahore-on-oct-21-marriyum
28,https://www.dawn.com/news/1779818/nawaz-to-head-home-after-minar-i-pakistan-rally-in-lahore-on-oct-21-marriyum
29,https://www.dawn.com/news/1779768/nawaz-wraps-up-uk-affairs-as-shehbaz-confirms-homecoming
30,https://www.dawn.com/news/1779768/nawaz-wraps-up-uk-affairs-as-shehbaz-confirms-homecoming
31,https://www.dawn.com/news/1779388/nawaz-has-to-return-to-jail-but-his-legal-team-thinks-otherwise
32,https://www.dawn.com/news/1779388/nawaz-has-to-return-to-jail-but-his-legal-team-thinks-otherwise
33,https://www.dawn.com/news/1782361/
34,https://www.dawn.com/news/1782355/
35,https://www.dawn.com/news/1782116/
36,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
37,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
38,https://www.dawn.com/news/1782459/us-concerned-about-russia-hungary-ties
39,https://www.dawn.com/news/1782459/us-concerned-about-russia-hungary-ties
40,https://www.dawn.com/news/1782460/labour-deals-big-by-election-blows-to-sunak
41,https://www.dawn.com/news/1782460/labour-deals-big-by-election-blows-to-sunak
42,https://www.dawn.com/news/1782514/us-teams-visit-sparks-action-on-shrimp-export-ban
43,https://www.dawn.com/news/1782514/us-teams-visit-sparks-action-on-shrimp-export-ban
44,https://www.dawn.com/news/1782515/bris-initial-phase-helps-end-power-outages-minister
45,https://www.dawn.com/news/1782515/bris-initial-phase-helps-end-power-outages-minister
46,https://www.dawn.com/news/1782516/dollar-unchanged-in-interbank-kerb-markets
47,https://www.dawn.com/news/1782516/dollar-unchanged-in-interbank-kerb-markets
48,https://www.dawn.com/news/1782366/the-internet-schools-american-actor-sarah-silverman-on-the-plight-of-palestinians
49,https://www.dawn.com/news/1782322/mtv-europe-music-awards-cancelled-amid-israel-gaza-crisis
50,https://www.dawn.com/news/1782317/going-loco-for-local-pure-desis-traditional-and-gentle-ubtan-is-here-to-change-your-skincare-game
51,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
52,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
53,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
54,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
55,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
56,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
57,https://www.dawn.com/news/1782298/cartoon-20-october-2023
58,https://www.dawn.com/news/1782298/cartoon-20-october-2023
