No.,link
1,https://www.dawn.com/news/1782530/homecoming
2,https://www.dawn.com/news/print/1782530
3,https://www.dawn.com/news/1782470/nawaz-comes-out-of-exile-as-things-go-pml-ns-way
4,https://www.dawn.com/news/1782055
5,https://www.dawn.com/news/1782055
6,https://www.dawn.com/news/print/1782530
7,https://www.dawn.com/news/1782470/nawaz-comes-out-of-exile-as-things-go-pml-ns-way
8,https://www.dawn.com/news/1782470/nawaz-comes-out-of-exile-as-things-go-pml-ns-way
9,https://www.dawn.com/news/1781717/from-airport-to-minar-i-pakistan-a-bumpy-ride-awaits-nawaz
10,https://www.dawn.com/news/1781717/from-airport-to-minar-i-pakistan-a-bumpy-ride-awaits-nawaz
11,https://www.dawn.com/news/1782178/punjab-admin-on-its-toes-as-nawaz-faces-threat-alerts
12,https://www.dawn.com/news/1782178/punjab-admin-on-its-toes-as-nawaz-faces-threat-alerts
13,https://www.dawn.com/news/1782361/
14,https://www.dawn.com/news/1782355/
15,https://www.dawn.com/news/1782116/
16,https://www.dawn.com/news/1782567/before-boarding-flight-back-to-pakistan-nawaz-says-is-happy-to-be-returning
17,https://www.dawn.com/news/1782567/before-boarding-flight-back-to-pakistan-nawaz-says-is-happy-to-be-returning
18,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
19,https://www.dawn.com/news/1782454/shun-hatred-of-muslims-and-jews-biden-urges-americans
20,https://www.dawn.com/news/1782459/us-concerned-about-russia-hungary-ties
21,https://www.dawn.com/news/1782459/us-concerned-about-russia-hungary-ties
22,https://www.dawn.com/news/1782460/labour-deals-big-by-election-blows-to-sunak
23,https://www.dawn.com/news/1782460/labour-deals-big-by-election-blows-to-sunak
24,https://www.dawn.com/news/1782514/us-teams-visit-sparks-action-on-shrimp-export-ban
25,https://www.dawn.com/news/1782514/us-teams-visit-sparks-action-on-shrimp-export-ban
26,https://www.dawn.com/news/1782515/bris-initial-phase-helps-end-power-outages-minister
27,https://www.dawn.com/news/1782515/bris-initial-phase-helps-end-power-outages-minister
28,https://www.dawn.com/news/1782366/the-internet-schools-american-actor-sarah-silverman-on-the-plight-of-palestinians
29,https://www.dawn.com/news/1782322/mtv-europe-music-awards-cancelled-amid-israel-gaza-crisis
30,https://www.dawn.com/news/1782317/going-loco-for-local-pure-desis-traditional-and-gentle-ubtan-is-here-to-change-your-skincare-game
31,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
32,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
33,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
34,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
35,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
36,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
37,https://www.dawn.com/news/1782298/cartoon-20-october-2023
38,https://www.dawn.com/news/1782298/cartoon-20-october-2023
39,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
40,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
41,https://www.dawn.com/news/1782119/in-meeting-with-xi-pm-kakar-hails-pak-china-partnership-as-made-in-heaven
42,https://www.dawn.com/news/1782119/in-meeting-with-xi-pm-kakar-hails-pak-china-partnership-as-made-in-heaven
43,https://www.dawn.com/news/1782260/sc-suspends-phc-order-granting-blanket-bail-to-pti-leaders
44,https://www.dawn.com/news/1782260/sc-suspends-phc-order-granting-blanket-bail-to-pti-leaders
