No.,link
1,https://www.dawn.com/news/1782335/sc-to-take-up-pleas-challenging-military-trials-of-civilians-on-oct-23
2,https://www.dawn.com/news/print/1782335
3,https://www.dawn.com/news/1762314
4,https://www.dawn.com/news/1752254
5,https://www.dawn.com/news/1759363/na-passes-resolution-to-try-may-9-rioters-under-army-act-without-any-delay
6,https://www.dawn.com/news/1761893/army-details-action-against-its-own-over-may-9-riots
7,https://www.dawn.com/news/1755196
8,"https://www.dawn.com/news/1761825#:~:text=and%20PTI%20Chairman-,Imran,-Khan."
9,"https://www.dawn.com/news/1762002#:~:text=Court%20Bar%20Association%20(-,SCBA,-)%20president%20Abid%20Zuberi"
10,https://www.dawn.com/news/1760274
11,https://www.dawn.com/news/1760806
12,https://www.dawn.com/news/1759129
13,https://www.dawn.com/news/1782245/cjp-isa-may-take-up-military-court-trial-cases-soon
14,https://www.dawn.com/news/1768093/sc-turns-down-full-court-request-for-military-trial-case
15,https://www.dawn.com/news/1768265
16,https://www.dawn.com/news/1762002/civilians-trials-in-military-courts-have-not-yet-started-agp-tells-sc
17,https://www.dawn.com/news/1769231
18,https://www.dawn.com/news/1775968
19,https://www.dawn.com/news/1770461
20,https://www.dawn.com/news/print/1782335
21,https://www.dawn.com/news/1782245/cjp-isa-may-take-up-military-court-trial-cases-soon
22,https://www.dawn.com/news/1782245/cjp-isa-may-take-up-military-court-trial-cases-soon
23,https://www.dawn.com/news/1768189/military-trials-of-civilians-cjp-says-will-not-allow-army-to-take-unconstitutional-steps
24,https://www.dawn.com/news/1768189/military-trials-of-civilians-cjp-says-will-not-allow-army-to-take-unconstitutional-steps
25,https://www.dawn.com/news/1762002/civilians-trials-in-military-courts-have-not-yet-started-agp-tells-sc
26,https://www.dawn.com/news/1762002/civilians-trials-in-military-courts-have-not-yet-started-agp-tells-sc
27,https://www.dawn.com/news/1782361/
28,https://www.dawn.com/news/1782355/
29,https://www.dawn.com/news/1782116/
