No.,link
1,https://www.dawn.com/news/1782383/israeli-police-crack-down-on-arab-citizens-expressing-solidarity-with-gaza
2,https://www.dawn.com/news/1779807/surprise-hamas-attack-met-with-retaliatory-air-strikes-from-israel
3,https://www.dawn.com/news/print/1782383
