No.,link
32,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
32,https://www.dawn.com/news/print/1782246
32,https://www.dawn.com/news/1779092
32,https://www.dawn.com/news/1776704/indian-envoy-expelled-as-pm-trudeau-links-delhi-to-sikh-leaders-death
32,https://www.dawn.com/news/print/1782246
32,https://www.dawn.com/news/1779092/india-tells-canada-to-withdraw-41-diplomats-report
32,https://www.dawn.com/news/1779092/india-tells-canada-to-withdraw-41-diplomats-report
32,https://www.dawn.com/news/1776725/in-tit-for-tat-move-india-expels-canadian-diplomat-after-pm-trudeau-links-delhi-to-sikh-leaders-murder
32,https://www.dawn.com/news/1776725/in-tit-for-tat-move-india-expels-canadian-diplomat-after-pm-trudeau-links-delhi-to-sikh-leaders-murder
32,https://www.dawn.com/news/1777933/situationer-is-canada-becoming-the-new-pakistan-for-india
32,https://www.dawn.com/news/1777933/situationer-is-canada-becoming-the-new-pakistan-for-india
32,https://www.dawn.com/news/1782361/
32,https://www.dawn.com/news/1782355/
32,https://www.dawn.com/news/1782116/
32,https://www.dawn.com/news/1782395/pti-ally-sheikh-rashid-resurfaces-says-he-was-on-pilgrimage
32,https://www.dawn.com/news/1782395/pti-ally-sheikh-rashid-resurfaces-says-he-was-on-pilgrimage
32,https://www.dawn.com/news/1782379/4-terrorists-killed-in-intelligence-based-operation-in-kps-lakki-marwat-ispr
32,https://www.dawn.com/news/1782379/4-terrorists-killed-in-intelligence-based-operation-in-kps-lakki-marwat-ispr
32,https://www.dawn.com/news/1782341/canada-cuts-some-consular-services-in-india-amid-row-over-sikh-leaders-murder
32,https://www.dawn.com/news/1782341/canada-cuts-some-consular-services-in-india-amid-row-over-sikh-leaders-murder
32,https://www.dawn.com/news/1782335/sc-to-take-up-pleas-challenging-military-trials-of-civilians-on-oct-23
32,https://www.dawn.com/news/1782335/sc-to-take-up-pleas-challenging-military-trials-of-civilians-on-oct-23
32,https://www.dawn.com/news/1782334/warner-marsh-fireworks-as-australia-outclass-pakistan-by-62-runs
32,https://www.dawn.com/news/1782334/warner-marsh-fireworks-as-australia-outclass-pakistan-by-62-runs
32,https://www.dawn.com/news/1782323/current-account-deficit-contracts-to-8m-in-sept
32,https://www.dawn.com/news/1782323/current-account-deficit-contracts-to-8m-in-sept
32,https://www.dawn.com/news/1782366/the-internet-schools-american-actor-sarah-silverman-on-the-plight-of-palestinians
32,https://www.dawn.com/news/1782322/mtv-europe-music-awards-cancelled-amid-israel-gaza-crisis
32,https://www.dawn.com/news/1782317/going-loco-for-local-pure-desis-traditional-and-gentle-ubtan-is-here-to-change-your-skincare-game
32,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
32,https://www.dawn.com/news/1782142/ton-up-kohli-stars-as-india-overwhelm-bangladesh-in-world-cup
32,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
32,https://www.dawn.com/news/1782249/situationer-indias-garden-city-welcomes-the-world-cup
32,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
32,https://www.dawn.com/news/1782246/canada-pulls-41-diplomats-from-india
32,https://www.dawn.com/news/1782298/cartoon-20-october-2023
32,https://www.dawn.com/news/1782298/cartoon-20-october-2023
32,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
32,https://www.dawn.com/news/1782121/fakhar-zaman-unavailable-for-world-cup-selection-until-next-week-after-suffering-knee-injury
